	SVL	Mass
Anguis_veronensis	233.0	41.9
Anilios_affinis	220.0	4.4
Anilios_ammodytes	252.0	7.2
Anilios_aspinus	281.0	10.7
Anilios_australis	500.0	90.2
Anilios_batillus	320.0	17.4
Anilios_bicolor	420.0	47.4
Anilios_bituberculatus	450.0	61.1
Anilios_broomi	250.0	7.0
Anilios_centralis	320.0	17.4
Anilios_chamodracaena	210.0	3.7
Anilios_diversus	350.0	24.2
Anilios_endoterus	400.0	39.6
Anilios_erycinus	275.0	9.9
Anilios_ganei	335.0	20.6
Anilios_grypus	450.0	61.1
Anilios_guentheri	400.0	39.6
Anilios_hamatus	420.0	47.4
Anilios_howi	210.0	3.7
Anilios_kimberleyensis	296.0	13.0
Anilios_leptosomus	400.0	39.6
Anilios_leucoproctus	250.0	7.0
Anilios_ligatus	500.0	90.2
Anilios_longissimus	268.0	9.0
Anilios_margaretae	306.0	14.7
Anilios_micrommus	205.0	3.4
Anilios_minimus	200.0	3.1
Anilios_nema	268.0	9.0
Anilios_nigrescens	750.0	403.3
Anilios_nigricaudus	315.0	16.4
Anilios_nigroterminatus	275.0	9.9
Anilios_pilbarensis	370.0	29.7
Anilios_pinguis	550.0	128.3
Anilios_polygrammicus	395.0	37.8
Anilios_proximus	750.0	403.3
Anilios_robertsi	290.0	12.1
Anilios_silvia	200.0	3.1
Anilios_splendidus	512.0	98.5
Anilios_torresianus	400.0	39.6
Anilios_tovelli	122.0	0.5
Anilios_troglodytes	402.0	40.3
Anilios_unguirostris	700.0	312.6
Anilios_waitii	600.0	176.9
Anilios_wiedii	300.0	13.7
Anilios_yampiensis	128.0	0.6
Anilios_yirrikalae	200.0	3.1
Anilius_scytale	1200.0	340.1
Anisolepis_grilli	97.0	27.3
Anisolepis_longicauda	98.0	28.3
Anisolepis_undulatus	88.0	19.7
Anniella_alexanderae	158.0	7.1
Anniella_campi	152.0	6.5
Anniella_geronimensis	165.0	7.8
Anniella_grinnelli	148.0	6.1
Anniella_pulchra	180.0	9.6
Anniella_stebbinsi	132.0	4.7
Anolis_acutus	67.0	6.3
Anolis_aeneus	80.0	10.6
